Client ID,Client Name,Client Phone Number,Client Address,Client Username,Client Password
163184387,Anh,0337644653,HN,anhlai,anhlai123
163185678,Tu,0337644654,ND,tuVuong,tuvuong123
169823457,Hung,0337644655,TB,hungtran,hungtran123
189184387,Tuyen,0337644656,HY,tuyennguyen,tuyennguyen123
154184386,Chuong,0337644657,ND,chuongDinh,chuongDinh123
167184582,Chien,0337644658,HT,chiennguyen,chiennguyen123
187631843,Canh,0337644659,HN,canhnguyen,canhnguyen123
167456890,baotrung,0167856734,ND,baotrung,baotrung123
178666458,hoang,0116422299,Thai Nguyen,huyhoang,huyhoang123
178666451,ad,0116422292,Thai Nguyen,ProAdmin,ProAdmin123
